Date,Time,Close
21/05/2021,11:30:00 AM,4158.75
21/05/2021,11:45:00 AM,4151.5
21/05/2021,12:00:00 PM,4151.5
21/05/2021,12:15:00 PM,4157
21/05/2021,12:30:00 PM,4160
21/05/2021,12:45:00 PM,4160
21/05/2021,1:00:00 PM,4163.75
21/05/2021,1:15:00 PM,4157.5
21/05/2021,1:30:00 PM,4155.25
21/05/2021,1:45:00 PM,4160.25
21/05/2021,2:00:00 PM,4161
21/05/2021,2:15:00 PM,4162.5
21/05/2021,2:30:00 PM,4154
21/05/2021,2:45:00 PM,4152.5
21/05/2021,3:00:00 PM,4156.75
21/05/2021,3:30:00 PM,4156.5
21/05/2021,3:45:00 PM,4157.75
24/05/2021,9:30:00 AM,4196
24/05/2021,9:45:00 AM,4196.25
24/05/2021,10:00:00 AM,4194.75
24/05/2021,10:15:00 AM,4198.75
24/05/2021,10:30:00 AM,4198.75
24/05/2021,10:45:00 AM,4195.25
24/05/2021,11:00:00 AM,4194.75
24/05/2021,11:15:00 AM,4192.75
24/05/2021,11:30:00 AM,4195
24/05/2021,11:45:00 AM,4196
24/05/2021,12:00:00 PM,4196.5
24/05/2021,12:15:00 PM,4199.5
24/05/2021,12:30:00 PM,4201
24/05/2021,12:45:00 PM,4200.75
24/05/2021,1:00:00 PM,4203
24/05/2021,1:15:00 PM,4203.75
24/05/2021,1:30:00 PM,4206
24/05/2021,1:45:00 PM,4203.75
24/05/2021,2:00:00 PM,4203.25
24/05/2021,2:15:00 PM,4202.5
24/05/2021,2:30:00 PM,4200.25
24/05/2021,2:45:00 PM,4194.5
24/05/2021,3:00:00 PM,4198
24/05/2021,3:30:00 PM,4199.25
24/05/2021,3:45:00 PM,4199.25
25/05/2021,9:30:00 AM,4196.75
25/05/2021,9:45:00 AM,4197
25/05/2021,10:00:00 AM,4195
25/05/2021,10:15:00 AM,4188.5
25/05/2021,10:30:00 AM,4187.75
25/05/2021,10:45:00 AM,4191.75
25/05/2021,11:00:00 AM,4195.5
25/05/2021,11:15:00 AM,4196
25/05/2021,11:30:00 AM,4195.5
25/05/2021,11:45:00 AM,4194.25
25/05/2021,12:00:00 PM,4191.75
